Terrain_Aspect,Burn_Treatment,Vegetation_Type,Thermo_Mid_Max,Thermo_Low_Max,Soil_Texture,Slope_Position,Horizon_Wet_Mass_g,Moisture_Index,Horizon_Dry_Mass_g,Horizon_Thickness_cm,Core_Wet_Mass_g,Core_Dry_Mass_g,Soil_pH,Total_Carbon_Percentage,Dry_Horizon_Mass_Loss_g,Horizon_Thickness_Loss_cm,Latitude,Leading_Vegetation_Species,Longitude
SSE,wet,Pinus_contorta,39.6195,25.8943,sand,Middle,332.69,0.064752252,311.1475732,6.5,375.34,341.1617219,5.42,0.839808643,0,0,59.474297,Pinus_contorta,-113.2144198
NW,dry,Populus_tremuloides,320.5581,46.0235,sandy loam,Middle,18.56,0.031499013,17.97537832,3.5,291.54,309.8131086,7.45,2.865058661,-2.152310838,1,59.474488,Populus_tremuloides,-113.6130701
SSE,dry,Populus_tremuloides,298.4965,63.9395,sand,Middle,268.7351608,0.011655012,265.6030493,5,303.95,297.290105,5.41,0.843660414,3.613228139,0,59.474176,Populus_tremuloides,-113.5861705
NW,wet,Populus_tremuloides,26.1778,27.8796,sandy loam,Middle,50.62,0.350036823,32.90113602,5.5,229.78,199.9626877,3.76,40.36032867,10.66071319,1.2,59.475689,Populus_tremuloides,-113.5444926
NW,dry,Picea_glauca,346.8191,75.3435,sandy loam,Middle,218.3969402,0.061181435,205.035102,4.5,262.83,244.0138042,3.86,0.992093503,0,0,59.474878,Picea_glauca,-112.7371566
West,dry,Abies_lasiocarpa,131.0088,42.6562,clay loam,Upper,348.9901935,0.022202487,341.2417434,6,364.69,355.6737721,4.31,1.025709271,1.276312195,0,59.474922,Abies_lasiocarpa,-112.543341
S,dry,Betula_papyrifera,532.0989,51.84056566,sandy loam,Level,89.12,0.500190333,44.54303753,5.822289157,89.12,44.54303753,7.21,17.08057022,26.85185473,2.5,59.476745,Betula_papyrifera,-113.2066833
NW,dry,Abies_lasiocarpa,449.498,80.1353,sandy loam,Lower,177.8,0.127462434,155.1371792,6,177.8,155.1371792,6.76,6.724472046,27.73914828,1,59.473911,Abies_lasiocarpa,-113.1925017
SSE,dry,Pinus_contorta,298.4965,63.9395,sand,Middle,35.21483924,0.100178891,31.6870557,5,303.95,297.290105,7.94,2.850503445,9.640670159,1.5,59.473774,Pinus_contorta,-112.9793454
NW,dry,Abies_lasiocarpa,320.5581,46.0235,sandy loam,Middle,18.56,0.031499013,17.97537832,3.5,291.54,309.8131086,7.45,2.865058661,-2.152310838,1,59.473669,Abies_lasiocarpa,-113.456807
NW,dry,Pinus_contorta,449.498,80.1353,sandy loam,Lower,177.8,0.127462434,155.1371792,6,177.8,155.1371792,6.76,6.724472046,27.73914828,1,59.473876,Pinus_contorta,-113.480515
NW,dry,Populus_tremuloides,346.8191,75.3435,sandy loam,Middle,44.43305985,0.122754491,38.9787022,5.5,262.83,244.0138042,7.65,29.27008247,33.4429954,1.8,59.473598,Populus_tremuloides,-112.7569679
SSE,wet,Abies_lasiocarpa,39.6195,25.8943,sand,Middle,332.69,0.064752252,311.1475732,6.5,375.34,341.1617219,5.42,0.839808643,0,0,59.473304,Abies_lasiocarpa,-112.4706642
NW,dry,Populus_tremuloides,346.8191,75.3435,sandy loam,Middle,218.3969402,0.061181435,205.035102,4.5,262.83,244.0138042,3.86,0.992093503,0,0,59.473684,Populus_tremuloides,-113.4733399
NW,dry,Picea_glauca,320.5581,46.0235,sandy loam,Middle,18.56,0.031499013,17.97537832,3.5,291.54,309.8131086,7.45,2.865058661,-2.152310838,1,59.473484,Picea_glauca,-113.0866587
SSE,dry,Abies_lasiocarpa,298.4965,63.9395,sand,Middle,35.21483924,0.100178891,31.6870557,5,303.95,297.290105,7.94,2.850503445,9.640670159,1.5,59.473314,Abies_lasiocarpa,-112.9285419
S,wet,Betula_papyrifera,30.4327,25.8745,sandy loam,Level,185.9,0.232662138,142.6481086,5.822289157,185.9,142.6481086,5.14,7.921103001,7.192257786,0.5,59.47345,Betula_papyrifera,-113.6724018
SSE,wet,Picea_glauca,39.6195,25.8943,sand,Middle,42.65,0.296268495,30.01414869,3.5,375.34,341.1617219,5.21,23.92676926,11.00409844,1,59.475521,Picea_glauca,-112.5252484
NW,dry,Betula_papyrifera,320.5581,46.0235,sandy loam,Middle,18.56,0.031499013,17.97537832,3.5,291.54,309.8131086,7.45,2.865058661,-2.152310838,1,59.473284,Betula_papyrifera,-113.088743
NW,dry,Betula_papyrifera,346.8191,75.3435,sandy loam,Middle,218.3969402,0.061181435,205.035102,4.5,262.83,244.0138042,3.86,0.992093503,0,0,59.473184,Betula_papyrifera,-112.7910949
NW,dry,Picea_glauca,346.8191,75.3435,sandy loam,Middle,44.43305985,0.122754491,38.9787022,5.5,262.83,244.0138042,7.65,29.27008247,33.4429954,1.8,59.472604,Picea_glauca,-113.6614476
ESE,dry,Pinus_contorta,30.3138,27.6491,sandy loam,Middle,116.06,0.304609218,80.70705411,7,230.63,175.2273041,4.57,18.86455154,4.484525591,1,59.472018,Pinus_contorta,-113.066145
ESE,wet,Abies_lasiocarpa,28.6393,24.9915,sandy loam,Middle,133.69,0.324097057,90.36146444,5.822289157,133.69,90.36146444,5.12,22.2735424,17.77,1,59.480146,Abies_lasiocarpa,-112.5123848
SSE,dry,Betula_papyrifera,298.4965,63.9395,sand,Middle,35.21483924,0.100178891,31.6870557,5,303.95,297.290105,7.94,2.850503445,9.640670159,1.5,59.472902,Betula_papyrifera,-113.3074539
NW,wet,Abies_lasiocarpa,34.0204,26.1759,sandy loam,Middle,264.9,0.043620502,253.3449291,5.5,309.43,296.6621073,3.87,2.373041391,0,0,59.472881,Abies_lasiocarpa,-113.0682431
NW,wet,Abies_lasiocarpa,26.1778,27.8796,sandy loam,Middle,179.16,0.067528736,167.0615517,4.5,229.78,199.9626877,3.53,1.555209637,0,0,59.472784,Abies_lasiocarpa,-113.6537999
